playerid,lahmanID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,namefirst,namelast,nameNote,nameGiven,nameNick,weight,Height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,BBrefMiLBid,DraftValue,Fastball,Changeup,Curve,Slider,Sinker,Splitter,Forkball,Cutter,Knuckleball,KnuckleCurve,CircleChange,Screwball,pexp,cexp,1bexp,2bexp,ssexp,3bexp,lfexp,cfexp,rfexp,infrange,inferror,infarm,infdp,cability,carm,ofrange,oferror,ofarm,Ethnicity,Arm Slot,Arm Slot.1,Name_ko,High,position
74336,74336,,,1969.0,12.0,9.0,United States,,,,,,,,,Michael,Fyhrie,,,,198.0,73.0,R,R,,,,,,,,2074336,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,피어리,,
53123,53123,,,1993.0,10.0,14.0,United States,,,,,,,,,Austin,Dean,,,,214.0,72.0,R,R,,,,,,,,2053123,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,오스틴,,
79650,79650,,,1977.0,1.0,11.0,United States,,,,,,,,,Rick,Guttormson,,,,201.0,74.0,R,R,,,,,,,,2079650,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,구톰슨,,
75230,75230,,,1977.0,2.0,15.0,United States,,,,,,,,,Matt,Randel,,,,181.0,72.0,R,R,,,,,,,,2075230,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,랜들,,
67645,67645,,,1989.0,5.0,25.0,United States,,,,,,,,,Patrick,Dean,,,,194.0,73.0,L,L,,,,,,,,2067645,,1.0,,3.0,2.0,,5.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,팻딘,,
69748,69748,,,1989.0,2.0,28.0,United States,,,,,,,,,Chadwick,Bell,,,,198.0,75.0,R,L,,,,,,,,2069748,,1.0,2.0,5.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,채드벨,,
64157,64157,,,1986.0,5.0,25.0,United States,,,,,,,,,Cory,Riordan,,,,198.0,76.0,R,R,,,,,,,,2064157,,1.0,4.0,3.0,,2.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,리오단,,
54640,54640,,,1993.0,2.0,8.0,United States,,,,,,,,,James,Naile,,,,183.0,76.0,R,R,,,,,,,,2054640,,,3.0,,2.0,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,네일,,
69744,69744,,,1990.0,1.0,16.0,United States,,,,,,,,,Warwick,Saupold,,,,223.0,74.0,R,R,,,,,,,,2069744,,4.0,2.0,3.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,서폴드,,
78725,78725,,,1976.0,3.0,5.0,United States,,,,,,,,,Doug,Clark,,,,198.0,75.0,L,R,,,,,,,,2078725,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,클락,,
69652,69652,,,1990.0,7.0,6.0,United States,,,,,,,,,Preston,Tucker,,,,209.0,72.0,L,L,,,,,,,,2069652,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,터커,,
